date,soe,total_arrivals,arrivals_male,arrivals_female
2020-01-01,Johor,1621595,905601,715994
2020-01-01,Kedah,85071,35097,49974
2020-01-01,Kelantan,40002,21170,18832
2020-01-01,Melaka,6015,2813,3202
2020-01-01,Negeri Sembilan,3398,2184,1214
2020-01-01,Pahang,1068,550,518
2020-01-01,Perak,21169,10042,11127
2020-01-01,Perlis,52560,30518,22042
2020-01-01,Pulau Pinang,66139,30241,35898
2020-01-01,Sabah,64829,29285,35544
2020-01-01,Sarawak,140162,80142,60020
2020-01-01,Selangor,817095,448654,368441
2020-01-01,Terengganu,0,0,0
2020-01-01,W.P. Labuan,3950,2526,1424
2020-02-01,Johor,1093546,671718,421828
2020-02-01,Kedah,64428,25646,38782
2020-02-01,Kelantan,39680,21932,17748
2020-02-01,Melaka,3236,1502,1734
2020-02-01,Negeri Sembilan,3259,2150,1109
2020-02-01,Pahang,449,279,170
2020-02-01,Perak,15691,7469,8222
2020-02-01,Perlis,45831,26593,19238
2020-02-01,Pulau Pinang,46197,21990,24207
2020-02-01,Sabah,30157,14245,15912
2020-02-01,Sarawak,100480,60537,39943
2020-02-01,Selangor,551924,330947,220977
2020-02-01,Terengganu,2,2,0
2020-02-01,W.P. Labuan,2442,1634,808
2020-03-01,Johor,669826,409015,260811
2020-03-01,Kedah,37180,16441,20739
2020-03-01,Kelantan,20605,10704,9901
2020-03-01,Melaka,1040,500,540
2020-03-01,Negeri Sembilan,1694,1141,553
2020-03-01,Pahang,271,147,124
2020-03-01,Perak,9620,4511,5109
2020-03-01,Perlis,29630,17261,12369
2020-03-01,Pulau Pinang,23117,10935,12182
2020-03-01,Sabah,7280,3907,3373
2020-03-01,Sarawak,49502,30001,19501
2020-03-01,Selangor,214336,133427,80909
2020-03-01,Terengganu,26,25,1
2020-03-01,W.P. Labuan,912,627,285
2020-04-01,Johor,296,236,60
2020-04-01,Kedah,13837,13161,676
2020-04-01,Kelantan,22,5,17
2020-04-01,Melaka,0,0,0
2020-04-01,Negeri Sembilan,1,1,0
2020-04-01,Pahang,0,0,0
2020-04-01,Perak,2,0,2
2020-04-01,Perlis,2,0,2
2020-04-01,Pulau Pinang,11,10,1
2020-04-01,Sabah,18,2,16
2020-04-01,Sarawak,470,438,32
2020-04-01,Selangor,416,231,185
2020-04-01,Terengganu,0,0,0
2020-04-01,W.P. Labuan,2,2,0
2020-05-01,Johor,221,206,15
2020-05-01,Kedah,12924,12109,815
2020-05-01,Kelantan,18,6,12
2020-05-01,Melaka,0,0,0
2020-05-01,Negeri Sembilan,0,0,0
2020-05-01,Pahang,2,2,0
2020-05-01,Perak,0,0,0
2020-05-01,Perlis,24,3,21
2020-05-01,Pulau Pinang,1,1,0
2020-05-01,Sabah,19,11,8
2020-05-01,Sarawak,454,432,22
2020-05-01,Selangor,617,423,194
2020-05-01,Terengganu,0,0,0
2020-05-01,W.P. Labuan,2,2,0
2020-06-01,Johor,387,344,43
2020-06-01,Kedah,11743,11001,742
2020-06-01,Kelantan,21,3,18
2020-06-01,Melaka,0,0,0
2020-06-01,Negeri Sembilan,0,0,0
2020-06-01,Pahang,0,0,0
2020-06-01,Perak,5,2,3
2020-06-01,Perlis,3,0,3
2020-06-01,Pulau Pinang,18,4,14
2020-06-01,Sabah,33,6,27
2020-06-01,Sarawak,946,902,44
2020-06-01,Selangor,1238,835,403
2020-06-01,Terengganu,1,1,0
2020-06-01,W.P. Labuan,5,5,0
2020-07-01,Johor,811,686,125
2020-07-01,Kedah,10020,9349,671
2020-07-01,Kelantan,9,1,8
2020-07-01,Melaka,0,0,0
2020-07-01,Negeri Sembilan,0,0,0
2020-07-01,Pahang,0,0,0
2020-07-01,Perak,10,1,9
2020-07-01,Perlis,2564,2511,53
2020-07-01,Pulau Pinang,24,10,14
2020-07-01,Sabah,95,31,64
2020-07-01,Sarawak,1193,1105,88
2020-07-01,Selangor,5608,3905,1703
2020-07-01,Terengganu,0,0,0
2020-07-01,W.P. Labuan,11,8,3
2020-08-01,Johor,831,759,72
2020-08-01,Kedah,10339,9527,812
2020-08-01,Kelantan,3,1,2
2020-08-01,Melaka,0,0,0
2020-08-01,Negeri Sembilan,0,0,0
2020-08-01,Pahang,0,0,0
2020-08-01,Perak,4,3,1
2020-08-01,Perlis,4320,4195,125
2020-08-01,Pulau Pinang,36,22,14
