DATE,USD,GBP,EUR,JPY100,CHF,AUD,CAD,SGD,HKD100
3 Jan 2023,4.4000,5.3038,4.6952,3.3687,4.7624,2.9902,3.2413,3.2808,56.3600
4 Jan 2023,4.4060,5.2828,4.6521,3.3630,4.7143,2.9714,3.2259,3.2786,56.3820
5 Jan 2023,4.4045,5.3176,4.6815,3.3391,4.7442,3.0087,3.2650,3.2868,56.3433
6 Jan 2023,4.3970,5.2434,4.6300,3.2928,4.7002,2.9774,3.2448,3.2710,56.2679
9 Jan 2023,4.3830,5.3074,4.6727,3.3251,4.7271,3.0241,3.2633,3.2845,56.1351
10 Jan 2023,4.3730,5.3237,4.6914,3.3203,4.7450,3.0224,3.2649,3.2857,56.0020
11 Jan 2023,4.3735,5.3182,4.6991,3.3065,4.7430,3.0171,3.2572,3.2844,55.9955
12 Jan 2023,4.3655,5.3045,4.6982,3.3093,4.6870,3.0179,3.2506,3.2812,55.8856
13 Jan 2023,4.3330,5.2902,4.7022,3.3531,4.6682,3.0184,3.2379,3.2795,55.4862
16 Jan 2023,4.3330,5.3058,4.6983,3.3887,4.6828,3.0275,3.2372,3.2853,55.4791
17 Jan 2023,4.3195,5.2685,4.6776,3.3637,4.6667,3.0087,3.2229,3.2705,55.3034
18 Jan 2023,4.3275,5.3107,4.6672,3.3587,4.6895,3.0206,3.2308,3.2759,55.3283
19 Jan 2023,4.3230,5.3264,4.6637,3.3662,4.7156,2.9868,3.1980,3.2704,55.2478
20 Jan 2023,4.3005,5.3266,4.6583,3.3432,4.6938,2.9729,3.1948,3.2538,54.9174
25 Jan 2023,4.2780,5.2726,4.6575,3.2823,4.6366,3.0299,3.2005,3.2410,54.6297
26 Jan 2023,4.2555,5.2800,4.6453,3.2928,4.6392,3.0235,3.1772,3.2409,54.3500
27 Jan 2023,4.2285,5.2510,4.6078,3.2616,4.5992,3.0145,3.1761,3.2260,54.0080
30 Jan 2023,4.2360,5.2526,4.6062,3.2563,4.5998,3.0158,3.1844,3.2283,54.0993
31 Jan 2023,4.2475,5.2503,4.6102,3.2597,4.5939,2.9949,3.1733,3.2324,54.1994
2 Feb 2023,4.2330,5.2466,4.6643,3.2951,4.6681,3.0249,3.1879,3.2450,53.9892
3 Feb 2023,4.2625,5.2047,4.6448,3.3136,4.6633,3.0138,3.1988,3.2513,54.3416
7 Feb 2023,4.3085,5.1857,4.6256,3.2506,4.6450,2.9707,3.2068,3.2470,54.9028
8 Feb 2023,4.2960,5.1793,4.6105,3.2830,4.6622,2.9922,3.2072,3.2441,54.7394
9 Feb 2023,4.3060,5.1948,4.6145,3.2742,4.6748,2.9830,3.2015,3.2450,54.8622
10 Feb 2023,4.3260,5.2416,4.6440,3.2881,4.6897,3.0031,3.2165,3.2633,55.1097
13 Feb 2023,4.3400,5.2293,4.6321,3.2955,4.6942,2.9989,3.2492,3.2618,55.2877
14 Feb 2023,4.3500,5.2846,4.6693,3.2921,4.7375,3.0306,3.2614,3.2762,55.4151
15 Feb 2023,4.3600,5.3103,4.6818,3.2852,4.7296,3.0433,3.2680,3.2823,55.5715
16 Feb 2023,4.4190,5.3112,4.7235,3.2952,4.7832,3.0367,3.2969,3.3063,56.3120
17 Feb 2023,4.4265,5.2956,4.7187,3.2975,4.7725,3.0386,3.2864,3.3089,56.3943
20 Feb 2023,4.4250,5.3184,4.7255,3.2923,4.7812,3.0386,3.2797,3.3088,56.4291
21 Feb 2023,4.4325,5.3321,4.7326,3.3023,4.7992,3.0604,3.2922,3.3170,56.5438
22 Feb 2023,4.4420,5.3877,4.7343,3.2951,4.7923,3.0463,3.2832,3.3160,56.6379
23 Feb 2023,4.4365,5.3473,4.7080,3.2898,4.7668,3.0261,3.2768,3.3102,56.5631
24 Feb 2023,4.4340,5.3319,4.7023,3.3007,4.7519,3.0229,3.2758,3.3039,56.5086
27 Feb 2023,4.4545,5.3283,4.7015,3.2688,4.7373,2.9988,3.2761,3.3010,56.7579
28 Feb 2023,4.4685,5.3904,4.7411,3.2812,4.7756,3.0145,3.2916,3.3169,56.9522
1 Mar 2023,4.4980,5.4050,4.7539,3.2985,4.7729,3.0128,3.2936,3.3323,57.3056
2 Mar 2023,4.4700,5.3734,4.7664,3.2806,4.7533,3.0190,3.2871,3.3286,56.9485
3 Mar 2023,4.4740,5.3554,4.7478,3.2749,4.7535,3.0182,3.2933,3.3240,56.9962
