POINT OF ENTRY,VISITOR ARRIVAL COUNT,LATITUDE,LONGITUDE,REGION,STATE
KLIA,4548399,2.74333,101.69806,West,Selangor
Tambak Johor,14074417,1.452772,103.769153,West,Johor
Stulang Laut,281320,1.467,103.753,West,Johor
Woodlands Train Checkpoint,584600,1.443778,103.769611,West,Johor
KLIA 2,4129197,2.7450794,101.6847154,West,Selangor
Gelang Patah,6567387,1.449133,103.602057,West,Johor
Pelabuhan Pulau Pinang,146413,5.4157,100.36603,West,Penang
LTA Bayan Lepas,1151386,5.3194422,100.2952329,West,Penang
Sungai Tujuh,839992,5.289,100.32,West,Penang
Pelabuhan Klang,143638,3.02,101.421,West,Selangor
LTA Kota Kinabalu,578360,5.937,116.073,East,Sabah
Bukit Kayu Hitam,718149,6.106,100.426,West,Kedah
Terminal Feri Puteri Harbour,123112,1.453,104.06,West,Johor
LTA Senai,139824,1.688,103.639,West,Johor
Padang Besar,606384,6.416,100.383,West,Kedah
Pos Kawalan Imm Muar,88888,2.039,102.553,West,Johor
