NO.,COUNTRY OF NATIONALITY,2024,2023
1.0,SINGAPORE,27941.65,21575.31
2.0,CHINA,20866.57,8881.23
3.0,INDONESIA,15323.27,11875.06
4.0,INDIA,6112.06,3408.61
5.0,THAILAND,3993.81,3238.50
6.0,BRUNEI,3235.10,2099.56
7.0,SOUTH KOREA,2901.45,2302.97
8.0,AUSTRALIA,2488.20,2114.36
9.0,UNITED KINGDOM,2450.48,1880.29
10.0,TAIWAN,2334.84,1624.42
11.0,JAPAN,1934.97,1382.73
12.0,PHILIPPINES,1804.38,1370.96
13.0,UNITED STATES,1656.75,1308.79
14.0,VIETNAM,1306.55,1299.92
15.0,FRANCE,924.86,623.52
16.0,GERMANY,887.54,703.01
17.0,RUSSIA,628.69,594.55
18.0,PAKISTAN,547.04,543.13
19.0,CANADA,525.27,409.72
20.0,NETHERLANDS,494.52,390.44
