id,parent,value
Tourist Expenditure,,
Accommodation & Food,Tourist Expenditure,
Accommodation,Accommodation & Food,19322.20
Food & Beverages,Accommodation & Food,17188.92
Shopping & Leisure,Tourist Expenditure,
Shopping,Shopping & Leisure,39895.38
Entertainment,Shopping & Leisure,2316.73
Sports,Shopping & Leisure,154.89
Others,Shopping & Leisure,320.92
Transport,Tourist Expenditure,
International Airfares,Transport,8689.88
Domestic Airfares,Transport,2555.85
Local Transportation,Transport,6079.64
Fuel,Transport,1113.50
Tours & Activities,Tourist Expenditure,
Organised Tour,Tours & Activities,4089.35
Health & Wellness,Tourist Expenditure,
Medical,Health & Wellness,5055.84
